,alternativeSpellings,createdAt,department,id,name,updatedAt
200,,2016-03-24T08:36:06.657Z,105,5523,"Herne, kuivattu",2016-12-16T09:15:37.312Z
201,,2016-03-24T08:36:07.044Z,107,5524,"Herne, pakaste",2016-12-16T09:15:37.673Z
202,,2016-03-24T08:36:07.364Z,105,5525,"Herne, säilyke",2016-12-16T09:15:38.407Z
203,,2016-03-24T08:36:08.121Z,100,5527,Herneenverso,2016-12-16T09:15:39.516Z
204,,2016-03-24T08:36:08.439Z,100,5528,"Herneenverso, luomu",2016-12-16T09:15:39.876Z
205,[],2016-03-24T08:36:09.146Z,107,5530,"Herne-maissi-paprikasekoitus, pakaste",2016-12-16T09:15:43.119Z
206,,2016-03-24T08:36:10.496Z,106,5534,"Hiiva, tuore",2016-12-16T09:15:47.123Z
207,,2016-03-24T08:36:10.936Z,106,5535,Hiivaleipävehnäjauho,2016-12-16T09:15:47.484Z
208,,2016-03-24T08:36:11.645Z,106,5537,"Hillo, paistonkestävä",2016-12-16T09:15:48.839Z
209,,2016-03-24T08:36:12.317Z,105,5539,Hillosipuli,2016-12-16T09:15:50.338Z
210,,2016-03-24T08:36:12.638Z,106,5540,Hillosokeri,2016-12-16T09:15:50.697Z
211,,2016-03-24T08:36:13.299Z,111,5542,Hiuskiinne,2016-12-16T09:16:01.616Z
212,,2016-03-24T08:36:13.620Z,111,5543,Hiusväri,2016-12-16T09:16:03.777Z
213,,2016-03-24T08:36:13.939Z,111,5544,Hoitoaine,2016-12-16T09:16:04.496Z
214,,2016-03-24T08:36:14.645Z,105,5546,"Hollandaisekastike, ainekset",2016-12-16T09:16:05.222Z
215,,2016-03-24T08:36:14.964Z,103,5547,Hot Dog -nakkisämpylä,2016-12-16T09:16:06.761Z
216,,2016-03-24T08:36:15.353Z,101,5548,Hot Dog -sämpylä,2016-12-16T09:16:07.283Z
217,,2016-03-24T08:36:15.672Z,106,5549,Hunaja,2016-12-16T09:16:14.887Z
